🎯 Optimizing RGB band selection from 448 total bands
📊 Pre-loading hypercubes...
✅ All hypercubes loaded into memory!
Dataset initialized with pre-loaded data. Total samples: 897
Band indices for training dataloader: [259, 336, 246]
Dataset initialized with pre-loaded data. Total samples: 226
Band indices for test dataloader: [259, 336, 246]
🔍 Starting evaluation of individual [259, 336, 246]
Epoch: 1 | train_loss: 1.3656 | train_acc: 0.3287 | test_loss: 1.2654 | test_acc: 0.5039 | 
Epoch: 2 | train_loss: 1.2415 | train_acc: 0.4440 | test_loss: 1.1535 | test_acc: 0.4727 | 
Epoch: 3 | train_loss: 1.1240 | train_acc: 0.4784 | test_loss: 1.1774 | test_acc: 0.4922 | 
Epoch: 4 | train_loss: 1.0409 | train_acc: 0.5625 | test_loss: 1.1451 | test_acc: 0.5625 | 
Epoch: 5 | train_loss: 0.9975 | train_acc: 0.5700 | test_loss: 1.1170 | test_acc: 0.5273 | 
Epoch: 6 | train_loss: 0.8809 | train_acc: 0.6261 | test_loss: 1.1423 | test_acc: 0.5938 | 
Epoch: 7 | train_loss: 0.8695 | train_acc: 0.6412 | test_loss: 1.0289 | test_acc: 0.5547 | 
Epoch: 8 | train_loss: 0.8022 | train_acc: 0.6778 | test_loss: 0.9531 | test_acc: 0.5664 | 
Epoch: 9 | train_loss: 0.7526 | train_acc: 0.7058 | test_loss: 0.9685 | test_acc: 0.6172 | 
Epoch: 10 | train_loss: 0.6747 | train_acc: 0.7198 | test_loss: 1.0043 | test_acc: 0.6211 | 
Epoch: 11 | train_loss: 0.6287 | train_acc: 0.7349 | test_loss: 0.9554 | test_acc: 0.6250 | 
Epoch: 12 | train_loss: 0.6206 | train_acc: 0.7565 | test_loss: 0.9162 | test_acc: 0.6680 | 
Epoch: 13 | train_loss: 0.5525 | train_acc: 0.7909 | test_loss: 0.8585 | test_acc: 0.6523 | 
Epoch: 14 | train_loss: 0.6343 | train_acc: 0.7985 | test_loss: 0.9324 | test_acc: 0.6602 | 
Epoch: 15 | train_loss: 0.4719 | train_acc: 0.8028 | test_loss: 0.8804 | test_acc: 0.7031 | 
Epoch: 16 | train_loss: 0.6064 | train_acc: 0.7554 | test_loss: 0.8721 | test_acc: 0.6484 | 
Epoch: 17 | train_loss: 0.4988 | train_acc: 0.8168 | test_loss: 0.8377 | test_acc: 0.6797 | 
Epoch: 18 | train_loss: 0.3966 | train_acc: 0.8685 | test_loss: 0.8683 | test_acc: 0.6992 | 
Epoch: 19 | train_loss: 0.4510 | train_acc: 0.8028 | test_loss: 0.8836 | test_acc: 0.6797 | 
Epoch: 20 | train_loss: 0.5311 | train_acc: 0.8060 | test_loss: 0.9981 | test_acc: 0.6367 | 
Epoch: 21 | train_loss: 0.4444 | train_acc: 0.8470 | test_loss: 0.8979 | test_acc: 0.7188 | 
Epoch: 22 | train_loss: 0.4430 | train_acc: 0.8524 | test_loss: 0.9728 | test_acc: 0.6367 | 
Epoch: 23 | train_loss: 0.4492 | train_acc: 0.8254 | test_loss: 1.0227 | test_acc: 0.6523 | 
Epoch: 24 | train_loss: 0.4262 | train_acc: 0.8222 | test_loss: 0.7361 | test_acc: 0.7617 | 
Epoch: 25 | train_loss: 0.4080 | train_acc: 0.8384 | test_loss: 0.7760 | test_acc: 0.7148 | 
Epoch: 26 | train_loss: 0.3227 | train_acc: 0.8879 | test_loss: 0.9048 | test_acc: 0.6914 | 
Epoch: 27 | train_loss: 0.3599 | train_acc: 0.8588 | test_loss: 0.8091 | test_acc: 0.7344 | 
Epoch: 28 | train_loss: 0.3200 | train_acc: 0.8879 | test_loss: 0.7746 | test_acc: 0.7344 | 
Epoch: 29 | train_loss: 0.2564 | train_acc: 0.8998 | test_loss: 0.8028 | test_acc: 0.7461 | 
Epoch: 30 | train_loss: 0.2242 | train_acc: 0.9235 | test_loss: 0.7201 | test_acc: 0.7695 | 
Epoch: 31 | train_loss: 0.2943 | train_acc: 0.8901 | test_loss: 0.7066 | test_acc: 0.7578 | 
Epoch: 32 | train_loss: 0.3015 | train_acc: 0.8858 | test_loss: 0.7005 | test_acc: 0.6992 | 
Epoch: 33 | train_loss: 0.2217 | train_acc: 0.9267 | test_loss: 1.0016 | test_acc: 0.6992 | 
Epoch: 34 | train_loss: 0.3566 | train_acc: 0.8901 | test_loss: 0.7334 | test_acc: 0.7617 | 
Epoch: 35 | train_loss: 0.2802 | train_acc: 0.9127 | test_loss: 0.8279 | test_acc: 0.6953 | 
Epoch: 36 | train_loss: 0.2962 | train_acc: 0.8879 | test_loss: 0.6653 | test_acc: 0.7773 | 
Epoch: 37 | train_loss: 0.2846 | train_acc: 0.8869 | test_loss: 0.6769 | test_acc: 0.7188 | 
Epoch: 38 | train_loss: 0.2786 | train_acc: 0.9062 | test_loss: 0.6624 | test_acc: 0.7773 | 
Epoch: 39 | train_loss: 0.2574 | train_acc: 0.8879 | test_loss: 0.6545 | test_acc: 0.8008 | 
Epoch: 40 | train_loss: 0.1807 | train_acc: 0.9429 | test_loss: 0.7468 | test_acc: 0.7734 | 
Epoch: 41 | train_loss: 0.3547 | train_acc: 0.9192 | test_loss: 1.0423 | test_acc: 0.7344 | 
Epoch: 42 | train_loss: 0.3138 | train_acc: 0.8782 | test_loss: 0.9648 | test_acc: 0.7188 | 
Epoch: 43 | train_loss: 0.2622 | train_acc: 0.8901 | test_loss: 0.7374 | test_acc: 0.7891 | 
Epoch: 44 | train_loss: 0.2624 | train_acc: 0.8998 | test_loss: 0.8236 | test_acc: 0.7344 | 
Epoch: 45 | train_loss: 0.3055 | train_acc: 0.8858 | test_loss: 0.7223 | test_acc: 0.7656 | 
Epoch: 46 | train_loss: 0.2644 | train_acc: 0.8933 | test_loss: 0.7438 | test_acc: 0.7695 | 
Epoch: 47 | train_loss: 0.2264 | train_acc: 0.9213 | test_loss: 0.7784 | test_acc: 0.7109 | 
Epoch: 48 | train_loss: 0.1926 | train_acc: 0.9386 | test_loss: 0.8964 | test_acc: 0.7227 | 
Epoch: 49 | train_loss: 0.2336 | train_acc: 0.9321 | test_loss: 0.6614 | test_acc: 0.7969 | 
