🎯 Optimizing RGB band selection from 448 total bands
📊 Pre-loading hypercubes...
✅ All hypercubes loaded into memory!
Dataset initialized with pre-loaded data. Total samples: 897
Band indices for training dataloader: [282, 442, 95]
Dataset initialized with pre-loaded data. Total samples: 226
Band indices for test dataloader: [282, 442, 95]
🔍 Starting evaluation of individual [282, 442, 95]
Epoch: 1 | train_loss: 1.3622 | train_acc: 0.3233 | test_loss: 1.4203 | test_acc: 0.3906 | 
Epoch: 2 | train_loss: 1.2807 | train_acc: 0.4095 | test_loss: 1.2192 | test_acc: 0.4453 | 
Epoch: 3 | train_loss: 1.1617 | train_acc: 0.5043 | test_loss: 1.3355 | test_acc: 0.4844 | 
Epoch: 4 | train_loss: 1.0791 | train_acc: 0.5280 | test_loss: 1.2917 | test_acc: 0.4609 | 
Epoch: 5 | train_loss: 1.0164 | train_acc: 0.5636 | test_loss: 1.2018 | test_acc: 0.5391 | 
Epoch: 6 | train_loss: 0.9435 | train_acc: 0.6034 | test_loss: 1.3189 | test_acc: 0.5391 | 
Epoch: 7 | train_loss: 0.8771 | train_acc: 0.6379 | test_loss: 1.1141 | test_acc: 0.6094 | 
Epoch: 8 | train_loss: 0.7987 | train_acc: 0.6756 | test_loss: 1.0180 | test_acc: 0.6445 | 
Epoch: 9 | train_loss: 0.7578 | train_acc: 0.7177 | test_loss: 1.1589 | test_acc: 0.5195 | 
Epoch: 10 | train_loss: 0.7139 | train_acc: 0.7101 | test_loss: 1.0262 | test_acc: 0.5859 | 
Epoch: 11 | train_loss: 0.6681 | train_acc: 0.7554 | test_loss: 1.0936 | test_acc: 0.6211 | 
Epoch: 12 | train_loss: 0.6381 | train_acc: 0.7317 | test_loss: 1.0184 | test_acc: 0.6250 | 
Epoch: 13 | train_loss: 0.5774 | train_acc: 0.7888 | test_loss: 0.9979 | test_acc: 0.6602 | 
Epoch: 14 | train_loss: 0.5828 | train_acc: 0.7812 | test_loss: 1.0850 | test_acc: 0.6992 | 
Epoch: 15 | train_loss: 0.5461 | train_acc: 0.7716 | test_loss: 0.9630 | test_acc: 0.6992 | 
Epoch: 16 | train_loss: 0.5920 | train_acc: 0.7705 | test_loss: 0.9951 | test_acc: 0.6367 | 
Epoch: 17 | train_loss: 0.5136 | train_acc: 0.8168 | test_loss: 0.9091 | test_acc: 0.6836 | 
Epoch: 18 | train_loss: 0.4246 | train_acc: 0.8459 | test_loss: 0.9235 | test_acc: 0.7109 | 
Epoch: 19 | train_loss: 0.4509 | train_acc: 0.8114 | test_loss: 0.9164 | test_acc: 0.6953 | 
Epoch: 20 | train_loss: 0.4567 | train_acc: 0.8319 | test_loss: 0.9616 | test_acc: 0.7070 | 
Epoch: 21 | train_loss: 0.4974 | train_acc: 0.8265 | test_loss: 1.0069 | test_acc: 0.7070 | 
Epoch: 22 | train_loss: 0.4837 | train_acc: 0.8039 | test_loss: 1.1338 | test_acc: 0.6094 | 
Epoch: 23 | train_loss: 0.4705 | train_acc: 0.8265 | test_loss: 1.0302 | test_acc: 0.5977 | 
Epoch: 24 | train_loss: 0.4098 | train_acc: 0.8394 | test_loss: 0.8930 | test_acc: 0.7227 | 
Epoch: 25 | train_loss: 0.3653 | train_acc: 0.8513 | test_loss: 1.0155 | test_acc: 0.6406 | 
Epoch: 26 | train_loss: 0.3480 | train_acc: 0.8869 | test_loss: 0.8620 | test_acc: 0.7305 | 
Epoch: 27 | train_loss: 0.3647 | train_acc: 0.8578 | test_loss: 0.9335 | test_acc: 0.6914 | 
Epoch: 28 | train_loss: 0.3408 | train_acc: 0.8836 | test_loss: 0.8612 | test_acc: 0.7227 | 
Epoch: 29 | train_loss: 0.2685 | train_acc: 0.8976 | test_loss: 0.8682 | test_acc: 0.7383 | 
Epoch: 30 | train_loss: 0.2482 | train_acc: 0.9192 | test_loss: 0.9082 | test_acc: 0.7070 | 
Epoch: 31 | train_loss: 0.3126 | train_acc: 0.8610 | test_loss: 0.9658 | test_acc: 0.7148 | 
Epoch: 32 | train_loss: 0.2852 | train_acc: 0.9062 | test_loss: 0.8414 | test_acc: 0.7422 | 
Epoch: 33 | train_loss: 0.2958 | train_acc: 0.9138 | test_loss: 0.9273 | test_acc: 0.7344 | 
Epoch: 34 | train_loss: 0.3734 | train_acc: 0.8804 | test_loss: 0.8159 | test_acc: 0.7617 | 
Epoch: 35 | train_loss: 0.3075 | train_acc: 0.8750 | test_loss: 0.8996 | test_acc: 0.6602 | 
Epoch: 36 | train_loss: 0.3123 | train_acc: 0.8825 | test_loss: 0.8581 | test_acc: 0.7031 | 
Epoch: 37 | train_loss: 0.2413 | train_acc: 0.9009 | test_loss: 0.9237 | test_acc: 0.7383 | 
Epoch: 38 | train_loss: 0.3033 | train_acc: 0.9019 | test_loss: 0.8405 | test_acc: 0.7617 | 
Epoch: 39 | train_loss: 0.3210 | train_acc: 0.8966 | test_loss: 0.8553 | test_acc: 0.7461 | 
Epoch: 40 | train_loss: 0.2338 | train_acc: 0.9289 | test_loss: 0.8971 | test_acc: 0.7148 | 
Epoch: 41 | train_loss: 0.3188 | train_acc: 0.9030 | test_loss: 0.9228 | test_acc: 0.7305 | 
Epoch: 42 | train_loss: 0.3005 | train_acc: 0.9062 | test_loss: 0.8206 | test_acc: 0.7539 | 
