🎯 Optimizing RGB band selection from 448 total bands
📊 Pre-loading hypercubes...
✅ All hypercubes loaded into memory!
Dataset initialized with pre-loaded data. Total samples: 897
Band indices for training dataloader: [140, 422, 33]
Dataset initialized with pre-loaded data. Total samples: 226
Band indices for test dataloader: [140, 422, 33]
🔍 Starting evaluation of individual [140, 422, 33]
Epoch: 1 | train_loss: 1.3696 | train_acc: 0.3060 | test_loss: 1.4697 | test_acc: 0.3711 | 
Epoch: 2 | train_loss: 1.2793 | train_acc: 0.4159 | test_loss: 1.1938 | test_acc: 0.4844 | 
Epoch: 3 | train_loss: 1.1511 | train_acc: 0.5172 | test_loss: 1.2452 | test_acc: 0.3711 | 
Epoch: 4 | train_loss: 1.0861 | train_acc: 0.5172 | test_loss: 1.3242 | test_acc: 0.4219 | 
Epoch: 5 | train_loss: 1.0274 | train_acc: 0.5496 | test_loss: 1.2976 | test_acc: 0.4727 | 
Epoch: 6 | train_loss: 0.9564 | train_acc: 0.5970 | test_loss: 1.3110 | test_acc: 0.5781 | 
Epoch: 7 | train_loss: 0.9343 | train_acc: 0.6088 | test_loss: 1.0692 | test_acc: 0.6172 | 
Epoch: 8 | train_loss: 0.8607 | train_acc: 0.6455 | test_loss: 0.9504 | test_acc: 0.6172 | 
Epoch: 9 | train_loss: 0.8187 | train_acc: 0.6983 | test_loss: 1.0210 | test_acc: 0.6328 | 
Epoch: 10 | train_loss: 0.7112 | train_acc: 0.7047 | test_loss: 1.0579 | test_acc: 0.5977 | 
Epoch: 11 | train_loss: 0.6853 | train_acc: 0.7220 | test_loss: 1.0001 | test_acc: 0.6523 | 
Epoch: 12 | train_loss: 0.6783 | train_acc: 0.7349 | test_loss: 0.9882 | test_acc: 0.5938 | 
Epoch: 13 | train_loss: 0.6403 | train_acc: 0.7575 | test_loss: 1.0887 | test_acc: 0.6484 | 
Epoch: 14 | train_loss: 0.6308 | train_acc: 0.7586 | test_loss: 1.0415 | test_acc: 0.6484 | 
Epoch: 15 | train_loss: 0.6246 | train_acc: 0.7435 | test_loss: 0.9518 | test_acc: 0.6680 | 
Epoch: 16 | train_loss: 0.6115 | train_acc: 0.7468 | test_loss: 1.0665 | test_acc: 0.6094 | 
Epoch: 17 | train_loss: 0.5574 | train_acc: 0.8125 | test_loss: 1.0035 | test_acc: 0.6172 | 
Epoch: 18 | train_loss: 0.4934 | train_acc: 0.7963 | test_loss: 1.0177 | test_acc: 0.6602 | 
Epoch: 19 | train_loss: 0.5118 | train_acc: 0.8125 | test_loss: 0.9476 | test_acc: 0.7031 | 
Epoch: 20 | train_loss: 0.5067 | train_acc: 0.7942 | test_loss: 0.9227 | test_acc: 0.7070 | 
Epoch: 21 | train_loss: 0.5143 | train_acc: 0.8060 | test_loss: 1.0177 | test_acc: 0.6875 | 
Epoch: 22 | train_loss: 0.5024 | train_acc: 0.7920 | test_loss: 0.9243 | test_acc: 0.6992 | 
Epoch: 23 | train_loss: 0.4642 | train_acc: 0.8254 | test_loss: 0.9612 | test_acc: 0.7148 | 
Epoch: 24 | train_loss: 0.4594 | train_acc: 0.8060 | test_loss: 0.7943 | test_acc: 0.7070 | 
Epoch: 25 | train_loss: 0.4277 | train_acc: 0.8276 | test_loss: 0.9279 | test_acc: 0.7266 | 
Epoch: 26 | train_loss: 0.3528 | train_acc: 0.8782 | test_loss: 0.9197 | test_acc: 0.7109 | 
Epoch: 27 | train_loss: 0.3906 | train_acc: 0.8502 | test_loss: 0.8598 | test_acc: 0.7188 | 
Epoch: 28 | train_loss: 0.3394 | train_acc: 0.8836 | test_loss: 0.9239 | test_acc: 0.7148 | 
Epoch: 29 | train_loss: 0.3055 | train_acc: 0.8858 | test_loss: 1.0282 | test_acc: 0.7031 | 
Epoch: 30 | train_loss: 0.2832 | train_acc: 0.9073 | test_loss: 1.3502 | test_acc: 0.6914 | 
Epoch: 31 | train_loss: 0.4028 | train_acc: 0.8696 | test_loss: 1.1336 | test_acc: 0.6406 | 
Epoch: 32 | train_loss: 0.3518 | train_acc: 0.8610 | test_loss: 0.8999 | test_acc: 0.7344 | 
Epoch: 33 | train_loss: 0.3411 | train_acc: 0.8664 | test_loss: 1.0462 | test_acc: 0.6875 | 
Epoch: 34 | train_loss: 0.3731 | train_acc: 0.8675 | test_loss: 0.9016 | test_acc: 0.7422 | 
Epoch: 35 | train_loss: 0.3047 | train_acc: 0.8825 | test_loss: 0.9040 | test_acc: 0.7500 | 
Epoch: 36 | train_loss: 0.3655 | train_acc: 0.8621 | test_loss: 1.0087 | test_acc: 0.6680 | 
Epoch: 37 | train_loss: 0.2900 | train_acc: 0.8858 | test_loss: 1.0025 | test_acc: 0.7266 | 
Epoch: 38 | train_loss: 0.3683 | train_acc: 0.8631 | test_loss: 0.9833 | test_acc: 0.6719 | 
Epoch: 39 | train_loss: 0.3135 | train_acc: 0.9041 | test_loss: 0.9519 | test_acc: 0.7500 | 
Epoch: 40 | train_loss: 0.2370 | train_acc: 0.9203 | test_loss: 1.0623 | test_acc: 0.6719 | 
Epoch: 41 | train_loss: 0.3858 | train_acc: 0.8653 | test_loss: 0.9314 | test_acc: 0.7305 | 
Epoch: 42 | train_loss: 0.3639 | train_acc: 0.8556 | test_loss: 0.8228 | test_acc: 0.7500 | 
Epoch: 43 | train_loss: 0.2702 | train_acc: 0.8966 | test_loss: 0.9371 | test_acc: 0.7617 | 
Epoch: 44 | train_loss: 0.2423 | train_acc: 0.8858 | test_loss: 0.9150 | test_acc: 0.7500 | 
