🎯 Optimizing RGB band selection from 448 total bands
📊 Pre-loading hypercubes...
✅ All hypercubes loaded into memory!
Dataset initialized with pre-loaded data. Total samples: 897
Band indices for training dataloader: [84, 227, 121]
Dataset initialized with pre-loaded data. Total samples: 226
Band indices for test dataloader: [84, 227, 121]
🔍 Starting evaluation of individual [84, 227, 121]
Epoch: 1 | train_loss: 1.3674 | train_acc: 0.3147 | test_loss: 1.3288 | test_acc: 0.4258 | 
Epoch: 2 | train_loss: 1.2397 | train_acc: 0.4483 | test_loss: 1.1794 | test_acc: 0.4297 | 
Epoch: 3 | train_loss: 1.1417 | train_acc: 0.5086 | test_loss: 1.1459 | test_acc: 0.4961 | 
Epoch: 4 | train_loss: 1.0139 | train_acc: 0.5733 | test_loss: 1.1796 | test_acc: 0.4922 | 
Epoch: 5 | train_loss: 0.9546 | train_acc: 0.6002 | test_loss: 1.0390 | test_acc: 0.5312 | 
Epoch: 6 | train_loss: 0.8707 | train_acc: 0.6422 | test_loss: 1.0883 | test_acc: 0.6094 | 
Epoch: 7 | train_loss: 0.7870 | train_acc: 0.6843 | test_loss: 0.9516 | test_acc: 0.6562 | 
Epoch: 8 | train_loss: 0.7742 | train_acc: 0.7026 | test_loss: 0.8579 | test_acc: 0.6641 | 
Epoch: 9 | train_loss: 0.6460 | train_acc: 0.7457 | test_loss: 0.9737 | test_acc: 0.6602 | 
Epoch: 10 | train_loss: 0.6001 | train_acc: 0.7672 | test_loss: 1.3281 | test_acc: 0.6328 | 
Epoch: 11 | train_loss: 0.5797 | train_acc: 0.7586 | test_loss: 1.0236 | test_acc: 0.6953 | 
Epoch: 12 | train_loss: 0.5667 | train_acc: 0.7694 | test_loss: 0.9372 | test_acc: 0.7031 | 
Epoch: 13 | train_loss: 0.4677 | train_acc: 0.8470 | test_loss: 1.0249 | test_acc: 0.6484 | 
Epoch: 14 | train_loss: 0.5517 | train_acc: 0.8050 | test_loss: 0.8256 | test_acc: 0.7266 | 
Epoch: 15 | train_loss: 0.4921 | train_acc: 0.8028 | test_loss: 0.8865 | test_acc: 0.6875 | 
Epoch: 16 | train_loss: 0.5323 | train_acc: 0.8222 | test_loss: 0.8591 | test_acc: 0.7109 | 
Epoch: 17 | train_loss: 0.5078 | train_acc: 0.8006 | test_loss: 0.8933 | test_acc: 0.6953 | 
Epoch: 18 | train_loss: 0.3507 | train_acc: 0.8448 | test_loss: 0.8727 | test_acc: 0.6836 | 
Epoch: 19 | train_loss: 0.4101 | train_acc: 0.8254 | test_loss: 0.9344 | test_acc: 0.7266 | 
Epoch: 20 | train_loss: 0.3931 | train_acc: 0.8556 | test_loss: 0.8991 | test_acc: 0.7148 | 
