🎯 Optimizing RGB band selection from 448 total bands
📊 Pre-loading hypercubes...
✅ All hypercubes loaded into memory!
Dataset initialized with pre-loaded data. Total samples: 897
Band indices for training dataloader: [222, 93, 201]
Dataset initialized with pre-loaded data. Total samples: 226
Band indices for test dataloader: [222, 93, 201]
🔍 Starting evaluation of individual [222, 93, 201]
Epoch: 1 | train_loss: 1.3651 | train_acc: 0.3157 | test_loss: 1.3277 | test_acc: 0.3711 | 
Epoch: 2 | train_loss: 1.2250 | train_acc: 0.4310 | test_loss: 1.1392 | test_acc: 0.5273 | 
Epoch: 3 | train_loss: 1.1093 | train_acc: 0.5205 | test_loss: 1.1530 | test_acc: 0.5078 | 
Epoch: 4 | train_loss: 1.0601 | train_acc: 0.5539 | test_loss: 1.2525 | test_acc: 0.5547 | 
Epoch: 5 | train_loss: 0.9509 | train_acc: 0.5991 | test_loss: 1.1837 | test_acc: 0.5586 | 
Epoch: 6 | train_loss: 0.8681 | train_acc: 0.6347 | test_loss: 1.0828 | test_acc: 0.5312 | 
Epoch: 7 | train_loss: 0.8005 | train_acc: 0.6746 | test_loss: 1.0376 | test_acc: 0.6172 | 
Epoch: 8 | train_loss: 0.7806 | train_acc: 0.6853 | test_loss: 1.0602 | test_acc: 0.5977 | 
Epoch: 9 | train_loss: 0.6684 | train_acc: 0.7500 | test_loss: 0.8926 | test_acc: 0.6836 | 
Epoch: 10 | train_loss: 0.5950 | train_acc: 0.7802 | test_loss: 0.8585 | test_acc: 0.7148 | 
Epoch: 11 | train_loss: 0.6146 | train_acc: 0.7597 | test_loss: 1.1077 | test_acc: 0.5781 | 
Epoch: 12 | train_loss: 0.5265 | train_acc: 0.7856 | test_loss: 0.9967 | test_acc: 0.6328 | 
Epoch: 13 | train_loss: 0.5479 | train_acc: 0.8125 | test_loss: 0.8980 | test_acc: 0.7070 | 
Epoch: 14 | train_loss: 0.5885 | train_acc: 0.8082 | test_loss: 0.8048 | test_acc: 0.6953 | 
Epoch: 15 | train_loss: 0.4972 | train_acc: 0.8071 | test_loss: 0.8931 | test_acc: 0.6836 | 
Epoch: 16 | train_loss: 0.5154 | train_acc: 0.7985 | test_loss: 0.8564 | test_acc: 0.6719 | 
Epoch: 17 | train_loss: 0.4856 | train_acc: 0.8082 | test_loss: 0.8648 | test_acc: 0.7227 | 
Epoch: 18 | train_loss: 0.3468 | train_acc: 0.8761 | test_loss: 0.8922 | test_acc: 0.7148 | 
Epoch: 19 | train_loss: 0.4077 | train_acc: 0.8405 | test_loss: 0.9658 | test_acc: 0.7266 | 
Epoch: 20 | train_loss: 0.4053 | train_acc: 0.8341 | test_loss: 0.9677 | test_acc: 0.6836 | 
Epoch: 21 | train_loss: 0.3857 | train_acc: 0.8664 | test_loss: 0.9804 | test_acc: 0.6836 | 
Epoch: 22 | train_loss: 0.4109 | train_acc: 0.8308 | test_loss: 0.9797 | test_acc: 0.6641 | 
Epoch: 23 | train_loss: 0.4560 | train_acc: 0.8448 | test_loss: 0.9153 | test_acc: 0.7070 | 
Epoch: 24 | train_loss: 0.3473 | train_acc: 0.8545 | test_loss: 0.9058 | test_acc: 0.7070 | 
Epoch: 25 | train_loss: 0.3443 | train_acc: 0.8588 | test_loss: 0.8195 | test_acc: 0.7461 | 
Epoch: 26 | train_loss: 0.2846 | train_acc: 0.9073 | test_loss: 0.8303 | test_acc: 0.7422 | 
Epoch: 27 | train_loss: 0.3734 | train_acc: 0.8513 | test_loss: 0.8787 | test_acc: 0.7148 | 
Epoch: 28 | train_loss: 0.2686 | train_acc: 0.9030 | test_loss: 0.8635 | test_acc: 0.7031 | 
Epoch: 29 | train_loss: 0.2236 | train_acc: 0.9170 | test_loss: 0.8522 | test_acc: 0.7656 | 
Epoch: 30 | train_loss: 0.2237 | train_acc: 0.9203 | test_loss: 0.9868 | test_acc: 0.7266 | 
Epoch: 31 | train_loss: 0.2491 | train_acc: 0.8815 | test_loss: 0.8601 | test_acc: 0.7695 | 
Epoch: 32 | train_loss: 0.2527 | train_acc: 0.9127 | test_loss: 0.7850 | test_acc: 0.7500 | 
Epoch: 33 | train_loss: 0.2424 | train_acc: 0.8966 | test_loss: 1.0201 | test_acc: 0.6836 | 
Epoch: 34 | train_loss: 0.3183 | train_acc: 0.9019 | test_loss: 1.0157 | test_acc: 0.6562 | 
