🎯 Optimizing RGB band selection from 448 total bands
📊 Pre-loading hypercubes...
✅ All hypercubes loaded into memory!
Dataset initialized with pre-loaded data. Total samples: 897
Band indices for training dataloader: [205, 13, 169]
Dataset initialized with pre-loaded data. Total samples: 226
Band indices for test dataloader: [205, 13, 169]
🔍 Starting evaluation of individual [205, 13, 169]
Epoch: 1 | train_loss: 1.3787 | train_acc: 0.2769 | test_loss: 1.3028 | test_acc: 0.3203 | 
Epoch: 2 | train_loss: 1.3126 | train_acc: 0.3976 | test_loss: 1.2226 | test_acc: 0.4766 | 
Epoch: 3 | train_loss: 1.2235 | train_acc: 0.4494 | test_loss: 1.2073 | test_acc: 0.4766 | 
Epoch: 4 | train_loss: 1.1610 | train_acc: 0.5086 | test_loss: 1.2148 | test_acc: 0.5000 | 
Epoch: 5 | train_loss: 1.1555 | train_acc: 0.4795 | test_loss: 1.1888 | test_acc: 0.5039 | 
Epoch: 6 | train_loss: 1.0594 | train_acc: 0.5399 | test_loss: 1.2239 | test_acc: 0.5039 | 
Epoch: 7 | train_loss: 1.0228 | train_acc: 0.5679 | test_loss: 1.1232 | test_acc: 0.5586 | 
Epoch: 8 | train_loss: 0.9308 | train_acc: 0.6304 | test_loss: 1.1617 | test_acc: 0.5195 | 
Epoch: 9 | train_loss: 0.9233 | train_acc: 0.6476 | test_loss: 1.1118 | test_acc: 0.5078 | 
Epoch: 10 | train_loss: 0.8467 | train_acc: 0.6466 | test_loss: 1.0347 | test_acc: 0.5938 | 
Epoch: 11 | train_loss: 0.8051 | train_acc: 0.6756 | test_loss: 1.0501 | test_acc: 0.5859 | 
Epoch: 12 | train_loss: 0.7976 | train_acc: 0.6843 | test_loss: 1.1973 | test_acc: 0.4883 | 
Epoch: 13 | train_loss: 0.8124 | train_acc: 0.6713 | test_loss: 1.0142 | test_acc: 0.5352 | 
Epoch: 14 | train_loss: 0.7888 | train_acc: 0.7058 | test_loss: 1.0836 | test_acc: 0.5742 | 
Epoch: 15 | train_loss: 0.7084 | train_acc: 0.7252 | test_loss: 1.0222 | test_acc: 0.6055 | 
Epoch: 16 | train_loss: 0.6968 | train_acc: 0.7392 | test_loss: 1.0025 | test_acc: 0.5898 | 
Epoch: 17 | train_loss: 0.6523 | train_acc: 0.7629 | test_loss: 1.0403 | test_acc: 0.6211 | 
Epoch: 18 | train_loss: 0.6187 | train_acc: 0.7532 | test_loss: 0.9737 | test_acc: 0.6289 | 
Epoch: 19 | train_loss: 0.6113 | train_acc: 0.7608 | test_loss: 1.2768 | test_acc: 0.5742 | 
Epoch: 20 | train_loss: 0.6267 | train_acc: 0.7694 | test_loss: 1.0461 | test_acc: 0.6094 | 
Epoch: 21 | train_loss: 0.6588 | train_acc: 0.7532 | test_loss: 0.9352 | test_acc: 0.6602 | 
Epoch: 22 | train_loss: 0.6135 | train_acc: 0.7640 | test_loss: 0.9983 | test_acc: 0.6484 | 
Epoch: 23 | train_loss: 0.5613 | train_acc: 0.7888 | test_loss: 1.1076 | test_acc: 0.6289 | 
Epoch: 24 | train_loss: 0.5483 | train_acc: 0.7716 | test_loss: 1.0395 | test_acc: 0.6055 | 
Epoch: 25 | train_loss: 0.5732 | train_acc: 0.7823 | test_loss: 1.0686 | test_acc: 0.6367 | 
Epoch: 26 | train_loss: 0.4379 | train_acc: 0.8351 | test_loss: 1.2097 | test_acc: 0.5781 | 
Epoch: 27 | train_loss: 0.4877 | train_acc: 0.7974 | test_loss: 1.0144 | test_acc: 0.6445 | 
Epoch: 28 | train_loss: 0.4483 | train_acc: 0.8308 | test_loss: 1.1005 | test_acc: 0.6562 | 
Epoch: 29 | train_loss: 0.3714 | train_acc: 0.8621 | test_loss: 0.9969 | test_acc: 0.6992 | 
Epoch: 30 | train_loss: 0.3913 | train_acc: 0.8491 | test_loss: 1.2054 | test_acc: 0.6484 | 
Epoch: 31 | train_loss: 0.4489 | train_acc: 0.8254 | test_loss: 1.1834 | test_acc: 0.6367 | 
Epoch: 32 | train_loss: 0.4547 | train_acc: 0.8287 | test_loss: 0.9432 | test_acc: 0.6992 | 
Epoch: 33 | train_loss: 0.3565 | train_acc: 0.8534 | test_loss: 1.0342 | test_acc: 0.6445 | 
Epoch: 34 | train_loss: 0.4249 | train_acc: 0.8621 | test_loss: 1.0452 | test_acc: 0.6523 | 
Epoch: 35 | train_loss: 0.4080 | train_acc: 0.8287 | test_loss: 0.9532 | test_acc: 0.6836 | 
Epoch: 36 | train_loss: 0.4718 | train_acc: 0.8330 | test_loss: 1.0108 | test_acc: 0.6914 | 
Epoch: 37 | train_loss: 0.3915 | train_acc: 0.8642 | test_loss: 0.9658 | test_acc: 0.6836 | 
Epoch: 38 | train_loss: 0.4225 | train_acc: 0.8459 | test_loss: 1.0775 | test_acc: 0.6602 | 
Epoch: 39 | train_loss: 0.4184 | train_acc: 0.8254 | test_loss: 1.0047 | test_acc: 0.6875 | 
Epoch: 40 | train_loss: 0.3330 | train_acc: 0.8879 | test_loss: 0.9462 | test_acc: 0.6914 | 
Epoch: 41 | train_loss: 0.4865 | train_acc: 0.8696 | test_loss: 1.0122 | test_acc: 0.7031 | 
Epoch: 42 | train_loss: 0.3758 | train_acc: 0.8578 | test_loss: 1.1853 | test_acc: 0.6562 | 
Epoch: 43 | train_loss: 0.3537 | train_acc: 0.8675 | test_loss: 1.0886 | test_acc: 0.6836 | 
Epoch: 44 | train_loss: 0.3373 | train_acc: 0.8772 | test_loss: 1.0058 | test_acc: 0.7070 | 
Epoch: 45 | train_loss: 0.3776 | train_acc: 0.8621 | test_loss: 1.0210 | test_acc: 0.6875 | 
Epoch: 46 | train_loss: 0.3789 | train_acc: 0.8718 | test_loss: 1.0109 | test_acc: 0.6836 | 
Epoch: 47 | train_loss: 0.3410 | train_acc: 0.8675 | test_loss: 1.0696 | test_acc: 0.6641 | 
Epoch: 48 | train_loss: 0.2971 | train_acc: 0.9009 | test_loss: 1.1702 | test_acc: 0.6719 | 
Epoch: 49 | train_loss: 0.2908 | train_acc: 0.8998 | test_loss: 1.0337 | test_acc: 0.6836 | 
