gen,nevals,avg,std,min,max,best
0,0,0.7966796875,0.0008513474499102878,0.79296875,0.796875,"[177, 160, 126]"
1,16,0.794140625,0.008203124999999999,0.76953125,0.796875,"[177, 160, 126]"
2,20,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
3,18,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
4,18,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
5,18,0.794140625,0.008203124999999999,0.76953125,0.796875,"[177, 160, 126]"
6,15,0.7869140625,0.02924409307844011,0.69921875,0.796875,"[177, 160, 126]"
7,16,0.767578125,0.04475171577105312,0.69921875,0.796875,"[177, 160, 126]"
8,17,0.7955078125,0.0059594321493720145,0.76953125,0.796875,"[177, 160, 126]"
9,14,0.796484375,0.0011718750000000002,0.79296875,0.796875,"[177, 160, 126]"
10,17,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
11,16,0.794140625,0.008203124999999999,0.76953125,0.796875,"[177, 160, 126]"
12,10,0.79140625,0.0109375,0.76953125,0.796875,"[177, 160, 126]"
13,18,0.7857421875,0.029446881591252045,0.69921875,0.796875,"[177, 160, 126]"
14,12,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
15,17,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
16,15,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
17,19,0.7935546875,0.008402978423554279,0.76953125,0.796875,"[177, 160, 126]"
18,15,0.7822265625,0.03487025599874438,0.69921875,0.796875,"[177, 160, 126]"
19,14,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
20,20,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
21,17,0.784375,0.02953290339286844,0.69921875,0.796875,"[177, 160, 126]"
22,18,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
23,15,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
24,16,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
25,17,0.77734375,0.0390625,0.69921875,0.796875,"[177, 160, 126]"
26,14,0.784765625,0.04106024358811849,0.609375,0.796875,"[177, 160, 126]"
27,18,0.796484375,0.0011718750000000002,0.79296875,0.796875,"[177, 160, 126]"
28,16,0.794140625,0.008203124999999999,0.76953125,0.796875,"[177, 160, 126]"
29,16,0.7857421875,0.02944688159125205,0.69921875,0.796875,"[177, 160, 126]"
30,20,0.7935546875,0.008402978423554279,0.76953125,0.796875,"[177, 160, 126]"
31,18,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
32,20,0.7875,0.04086467759569382,0.609375,0.796875,"[177, 160, 126]"
33,12,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
34,14,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
35,15,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
36,17,0.7962890625,0.0025540423497308626,0.78515625,0.796875,"[177, 160, 126]"
37,18,0.7966796875,0.0008513474499102879,0.79296875,0.796875,"[177, 160, 126]"
38,15,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
39,16,0.794140625,0.008203124999999999,0.76953125,0.796875,"[177, 160, 126]"
40,16,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
41,15,0.7966796875,0.0008513474499102878,0.79296875,0.796875,"[177, 160, 126]"
42,15,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
43,18,0.7966796875,0.0008513474499102878,0.79296875,0.796875,"[177, 160, 126]"
44,16,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
45,18,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
46,18,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
47,20,0.784375,0.029532903392868442,0.69921875,0.796875,"[177, 160, 126]"
48,14,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
49,17,0.787109375,0.029296875,0.69921875,0.796875,"[177, 160, 126]"
50,17,0.796875,0.0,0.796875,0.796875,"[177, 160, 126]"
