epoch,train_loss,train_accuracy
1,1.31884765625,0.3872767857142857
2,1.1493268694196428,0.5022321428571429
3,1.0507986886160714,0.5535714285714286
4,0.8365304129464286,0.6707589285714286
5,0.7370256696428571,0.7098214285714286
6,0.7175467354910714,0.7287946428571429
7,0.6459263392857143,0.7511160714285714
8,0.5238037109375,0.8147321428571429
9,0.49253627232142855,0.8392857142857143
10,0.48007638113839285,0.828125
11,0.3695896693638393,0.8649553571428571
12,0.394622802734375,0.8459821428571429
13,0.32877022879464285,0.9017857142857143
14,0.33464486258370535,0.8895089285714286
15,0.30098179408482145,0.8928571428571429
16,0.30565970284598215,0.8950892857142857
17,0.2580806187220982,0.9095982142857143
18,0.22486223493303573,0.9285714285714286
19,0.23384748186383927,0.9207589285714286
20,0.22379629952566965,0.9241071428571429
21,0.21848842075892858,0.921875
22,0.20389011928013392,0.9363839285714286
23,0.17157963344029017,0.9408482142857143
24,0.18095016479492188,0.9296875
25,0.14653451102120535,0.9430803571428571
26,0.1556448255266462,0.9430803571428571
27,0.19116646902901785,0.9229910714285714
28,0.1836090087890625,0.9397321428571429
29,0.24731881277901785,0.9229910714285714
30,0.17431204659598215,0.9386160714285714
31,0.14864131382533483,0.9508928571428571
32,0.12750898088727677,0.9587053571428571
33,0.115020751953125,0.9598214285714286
34,0.14111246381487166,0.9441964285714286
35,0.12307194301060267,0.9575892857142857
36,0.12543133326939174,0.9419642857142857
37,0.19169507707868302,0.9174107142857143
38,0.18174961635044642,0.9408482142857143
39,0.1900754656110491,0.9341517857142857
40,0.22188023158482142,0.9430803571428571
41,0.12850843157087052,0.9609375
42,0.16188648768833705,0.9497767857142857
43,0.15511485508510045,0.9430803571428571
44,0.11102022443498884,0.9732142857142857
45,0.09962081909179688,0.9654017857142857
46,0.15334647042410715,0.9375
47,0.14953558785574778,0.9453125
48,0.11889048985072545,0.9620535714285714
49,0.11598151070731026,0.9564732142857143
50,0.10732541765485491,0.96875
