gen,nevals,avg,std,min,max,best
0,20,0.7029296875,0.06254240504808892,0.53515625,0.79296875,"[241, 99, 119]"
1,16,0.730078125,0.029045799132845787,0.640625,0.76953125,"[241, 99, 119]"
2,14,0.74609375,0.019295451617544482,0.703125,0.76953125,"[241, 99, 119]"
3,16,0.71875,0.041136355052814905,0.64453125,0.8046875,"[215, 147, 173]"
4,14,0.734375,0.03247125381346938,0.6640625,0.79296875,"[215, 147, 173]"
5,13,0.748046875,0.03719152092232348,0.63671875,0.796875,"[215, 147, 173]"
6,12,0.7517578125,0.04640840364846887,0.60546875,0.796875,"[215, 147, 173]"
7,17,0.7744140625,0.02195420232009623,0.73828125,0.796875,"[215, 147, 173]"
8,20,0.7689453125,0.03537852907943204,0.671875,0.796875,"[215, 147, 173]"
9,18,0.77734375,0.04255840999989015,0.6640625,0.796875,"[215, 147, 173]"
10,14,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
11,19,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
12,14,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
13,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
14,15,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
15,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
16,14,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
17,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
18,14,0.7640625,0.05685439187081329,0.6640625,0.796875,"[215, 147, 173]"
19,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
20,20,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
21,14,0.791796875,0.015234375000000001,0.74609375,0.796875,"[215, 147, 173]"
22,16,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
23,16,0.791796875,0.015234375000000001,0.74609375,0.796875,"[215, 147, 173]"
24,14,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
25,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
26,16,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
27,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
28,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
29,16,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
30,12,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
31,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
32,18,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
33,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
34,12,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
35,14,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
36,15,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
37,18,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
38,16,0.7943359375,0.011067516848833742,0.74609375,0.796875,"[215, 147, 173]"
39,16,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
40,14,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
41,16,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
42,12,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
43,16,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
44,14,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
45,16,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
46,19,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
47,16,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
48,20,0.78359375,0.03984375,0.6640625,0.796875,"[215, 147, 173]"
49,20,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
50,14,0.796875,0.0,0.796875,0.796875,"[215, 147, 173]"
