,precision,recall,f1-score,support
0,0.7966101694915254,0.8392857142857143,0.8173913043478261,56.0
1,0.8627450980392157,0.7857142857142857,0.822429906542056,56.0
2,0.8245614035087719,0.8245614035087719,0.8245614035087719,57.0
3,0.7966101694915254,0.8245614035087719,0.8103448275862069,57.0
accuracy,0.8185840707964602,0.8185840707964602,0.8185840707964602,0.8185840707964602
macro avg,0.8201317101327597,0.8185307017543859,0.8186818604962153,226.0
weighted avg,0.820047232932471,0.8185840707964602,0.8186709866471116,226.0
