b0,b1,b2,candidate_seed,weighted_f1,macro_f1,ordinal_mae,quadratic_weighted_kappa,first_generation,seconds,wavelengths_nm
419,149,353,266509695,0.6508499328231789,0.6198376073368771,0.5625,0.5714997508719482,2,206.06972510972992,"[965.11, 594.4, 872.94]"
414,164,298,345794520,0.6385949571217842,0.6157240959738647,0.5375,0.5892575039494471,2,206.56964765908197,"[958.09, 614.55, 796.9]"
183,141,318,3563385253,0.7540348716619134,0.7396153561243008,0.4125,0.6693794506612412,2,203.197098699864,"[640.16, 583.67, 824.47]"
394,115,220,2886314655,0.6975006771745875,0.6994074293766909,0.4625,0.6575342465753424,2,205.53171898517758,"[930.08, 548.91, 690.25]"
151,205,194,737903292,0.7300266030325174,0.7280770899496922,0.475,0.6060606060606061,2,204.3218045970425,"[597.08, 669.91, 655.02]"
260,291,211,173087126,0.7679884244631017,0.7772291704764396,0.3625,0.74609375,2,203.1446030898951,"[744.77, 787.27, 678.04]"
310,260,219,377131355,0.7793101913662661,0.7644266429313158,0.4125,0.6685878962536023,2,203.45106077287346,"[813.43, 744.77, 688.9]"
367,180,205,1573437674,0.727111451753248,0.7025974992513522,0.44375,0.6537781147333839,2,201.97952739475295,"[892.41, 636.11, 669.91]"
447,277,334,3333565007,0.6155633852752088,0.6088826731013854,0.53125,0.6738376127689105,2,206.6527391327545,"[1004.52, 768.05, 846.59]"
238,232,258,2405443213,0.7284013464167662,0.7199829534638216,0.41875,0.6869340232858991,2,203.98741561826319,"[714.74, 706.57, 742.03]"
89,447,374,2563023426,0.7042929292929292,0.701094276094276,0.4625,0.6509863429438543,2,208.19732059212402,"[514.3, 1004.52, 902.16]"
205,78,202,3755130485,0.6929362663098025,0.6748427567748412,0.475,0.6424974823766365,2,204.64219499519095,"[669.91, 499.7, 665.84]"
400,222,98,1489494901,0.7069526217239763,0.687930073952507,0.45,0.674074074074074,3,201.94915351364762,"[938.48, 692.97, 526.26]"
118,169,231,2460970960,0.7359078479628111,0.7092174824537416,0.4375,0.633817985998923,3,205.07293703919277,"[552.91, 621.28, 705.21]"
308,190,181,2385404452,0.7298984170284546,0.7003246483773509,0.4125,0.6824512534818942,3,202.6719977040775,"[810.67, 649.61, 637.46]"
