gen,nevals,avg,std,min,max,best
0,20,0.7201171875,0.04665107648288214,0.62890625,0.796875,"[151, 118, 87]"
1,16,0.7314453125,0.048880830929150736,0.64453125,0.796875,"[151, 118, 87]"
2,14,0.73359375,0.04727369507552536,0.6171875,0.8046875,"[150, 146, 91]"
3,16,0.7318359375,0.07993293812420489,0.48828125,0.8046875,"[150, 146, 91]"
4,14,0.7599609375,0.03879744056046699,0.68359375,0.8046875,"[150, 146, 91]"
5,13,0.7681640625,0.06115839121427221,0.578125,0.80859375,"[161, 174, 112]"
6,12,0.792578125,0.029976492254608862,0.6796875,0.8046875,"[161, 174, 112]"
7,17,0.793359375,0.026519381363271376,0.69140625,0.8046875,"[161, 174, 112]"
8,20,0.78671875,0.035099781037867595,0.69140625,0.8046875,"[161, 174, 112]"
9,18,0.79140625,0.02265625,0.7421875,0.8046875,"[161, 174, 112]"
10,14,0.7912109375,0.029991123157723162,0.69140625,0.8046875,"[161, 174, 112]"
11,19,0.799609375,0.00865567179928138,0.7734375,0.8046875,"[161, 174, 112]"
12,14,0.7912109375,0.029581301623858927,0.69140625,0.8046875,"[161, 174, 112]"
13,18,0.799609375,0.014879685120891335,0.7421875,0.8046875,"[161, 174, 112]"
14,15,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
15,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
16,14,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
17,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
18,14,0.7990234375,0.024689076047398346,0.69140625,0.8046875,"[161, 174, 112]"
19,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
20,20,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
21,14,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
22,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
23,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
24,14,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
25,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
26,16,0.8015625,0.009375,0.7734375,0.8046875,"[161, 174, 112]"
27,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
28,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
29,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
30,12,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
31,18,0.8015625,0.009375,0.7734375,0.8046875,"[161, 174, 112]"
32,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
33,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
34,12,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
35,14,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
36,15,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
37,18,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
38,16,0.80390625,0.003405389799641151,0.7890625,0.8046875,"[161, 174, 112]"
39,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
40,14,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
41,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
42,12,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
43,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
44,14,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
45,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
46,19,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
47,16,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
48,20,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
49,20,0.8015625,0.009375,0.7734375,0.8046875,"[161, 174, 112]"
50,14,0.8046875,0.0,0.8046875,0.8046875,"[161, 174, 112]"
