gen,nevals,avg,std,min,max,best
0,20,0.704296875,0.057583742941666065,0.60546875,0.7890625,"[231, 104, 405]"
1,16,0.7462890625,0.023967796336552695,0.70703125,0.78515625,"[231, 104, 405]"
2,14,0.7490234375,0.05002250165062438,0.61328125,0.78515625,"[231, 104, 405]"
3,16,0.72890625,0.05589351011214316,0.609375,0.78515625,"[231, 104, 405]"
4,14,0.7587890625,0.041869369811569516,0.6171875,0.78515625,"[231, 104, 405]"
5,13,0.76796875,0.03439718744179893,0.640625,0.78515625,"[231, 104, 405]"
6,12,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
7,17,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
8,20,0.7796875,0.0109375,0.7578125,0.78515625,"[231, 104, 405]"
9,18,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
10,14,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
11,19,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
12,14,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
13,18,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
14,15,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
15,18,0.7796875,0.0109375,0.7578125,0.78515625,"[231, 104, 405]"
16,14,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
17,18,0.781640625,0.010546874999999999,0.75,0.78515625,"[231, 104, 405]"
18,14,0.777734375,0.013066975534123226,0.75,0.78515625,"[231, 104, 405]"
19,18,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
20,20,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
21,14,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
22,16,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
23,16,0.781640625,0.010546874999999999,0.75,0.78515625,"[231, 104, 405]"
24,14,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
25,18,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
26,16,0.782421875,0.008203124999999999,0.7578125,0.78515625,"[231, 104, 405]"
27,18,0.782421875,0.008203124999999999,0.7578125,0.78515625,"[231, 104, 405]"
28,18,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
29,16,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
30,12,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
31,18,0.776171875,0.013871313206691174,0.75,0.78515625,"[231, 104, 405]"
32,18,0.7818359375,0.008402978423554279,0.7578125,0.78515625,"[231, 104, 405]"
33,18,0.782421875,0.008203124999999999,0.7578125,0.78515625,"[231, 104, 405]"
34,12,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
35,14,0.782421875,0.008203124999999999,0.7578125,0.78515625,"[231, 104, 405]"
36,15,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
37,18,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
38,16,0.7833984375,0.007662127049192589,0.75,0.78515625,"[231, 104, 405]"
39,16,0.782421875,0.008203124999999999,0.7578125,0.78515625,"[231, 104, 405]"
40,14,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
41,16,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
42,12,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
43,16,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
44,14,0.782421875,0.008203124999999999,0.7578125,0.78515625,"[231, 104, 405]"
45,16,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
46,19,0.782421875,0.008203124999999999,0.7578125,0.78515625,"[231, 104, 405]"
47,16,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
48,20,0.7796875,0.0109375,0.7578125,0.78515625,"[231, 104, 405]"
49,20,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
50,14,0.78515625,0.0,0.78515625,0.78515625,"[231, 104, 405]"
