,precision,recall,f1-score,support
0,0.8363636363636363,0.8214285714285714,0.8288288288288288,56.0
1,0.8363636363636363,0.8214285714285714,0.8288288288288288,56.0
2,0.8235294117647058,0.7368421052631579,0.7777777777777778,57.0
3,0.7692307692307693,0.8771929824561403,0.819672131147541,57.0
accuracy,0.8141592920353983,0.8141592920353983,0.8141592920353983,0.8141592920353983
macro avg,0.8163718634306869,0.8142230576441103,0.8137768916457441,226.0
weighted avg,0.8161949450861476,0.8141592920353983,0.813643688661823,226.0
