,precision,recall,f1-score,support
0,0.75,0.8035714285714286,0.7758620689655172,56.0
1,0.8461538461538461,0.7857142857142857,0.8148148148148148,56.0
2,0.7894736842105263,0.7894736842105263,0.7894736842105263,57.0
3,0.8070175438596491,0.8070175438596491,0.8070175438596491,57.0
accuracy,0.7964601769911505,0.7964601769911505,0.7964601769911505,0.7964601769911505
macro avg,0.7981612685560053,0.7964442355889725,0.7967920279626268,226.0
weighted avg,0.7981620149761742,0.7964601769911505,0.7968048915561885,226.0
