,precision,recall,f1-score,support
0,0.8431372549019608,0.7678571428571429,0.8037383177570093,56.0
1,0.71875,0.8214285714285714,0.7666666666666667,56.0
2,0.8235294117647058,0.7368421052631579,0.7777777777777778,57.0
3,0.75,0.7894736842105263,0.7692307692307693,57.0
accuracy,0.7787610619469026,0.7787610619469026,0.7787610619469026,0.7787610619469026
macro avg,0.7838541666666667,0.7789003759398496,0.7793533828580558,226.0
weighted avg,0.7838799236508763,0.7787610619469026,0.7793016208283763,226.0
