,precision,recall,f1-score,support
0,0.8333333333333334,0.8035714285714286,0.8181818181818182,56.0
1,0.7272727272727273,0.8571428571428571,0.7868852459016393,56.0
2,0.8490566037735849,0.7894736842105263,0.8181818181818182,57.0
3,0.8679245283018868,0.8070175438596491,0.8363636363636363,57.0
accuracy,0.8141592920353983,0.8141592920353983,0.8141592920353983,0.8141592920353983
macro avg,0.8193967981703831,0.8143013784461153,0.8149031296572281,226.0
weighted avg,0.8197427607178818,0.8141592920353983,0.815012595122852,226.0
