gen,nevals,population_size,unique_population_candidates,avg,std,min,max,best,best_wavelengths_nm
0,20,20,20,0.6880691419496056,0.0659806792964813,0.5059358452593551,0.7930682786948772,"[157, 216, 194]","[605.14, 684.82, 655.02]"
1,16,20,19,0.7019634534162738,0.05369100522257752,0.5877865270755968,0.7833562271062271,"[225, 210, 133]","[697.05, 676.68, 572.96]"
2,18,20,20,0.7035876510411404,0.0751825443710804,0.47116828782176884,0.78733783955896,"[275, 316, 239]","[765.31, 821.71, 716.1]"
3,18,20,20,0.7367177542422372,0.035134756711791414,0.6586593103364284,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
4,18,20,18,0.744302621108793,0.045869406727467595,0.6536623229371455,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
5,20,20,16,0.748601804317331,0.05986496729730994,0.5883281378178835,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
6,16,20,17,0.7468501086008869,0.06841669353442245,0.4947739362861168,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
7,15,20,15,0.7629561376216928,0.03849934103323681,0.6970735930735931,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
8,15,20,18,0.7549201090116684,0.039221335525868234,0.6658917342191593,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
9,18,20,20,0.7528235168233662,0.03476319780231606,0.6994352134527801,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
10,15,20,18,0.769150662327489,0.030300290770231445,0.7186257366060321,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
11,17,20,19,0.762089133971454,0.030456724042684513,0.6901785714285714,0.8183059190412131,"[364, 231, 225]","[888.23, 705.21, 697.05]"
12,20,20,19,0.7635144581267174,0.03676927653385727,0.6640092165898619,0.8208949322848407,"[357, 230, 217]","[878.5, 703.85, 686.18]"
13,18,20,19,0.7646993467298889,0.029011486948042276,0.6864034858413112,0.8158083035194276,"[355, 251, 219]","[875.72, 732.47, 688.9]"
14,19,20,19,0.7646376459189214,0.0321110537974247,0.7135176524919447,0.8158083035194276,"[355, 251, 219]","[875.72, 732.47, 688.9]"
15,16,20,18,0.7596970327138529,0.03649366595253335,0.6972756520503308,0.8158083035194276,"[355, 251, 219]","[875.72, 732.47, 688.9]"
16,16,20,18,0.7720441079294198,0.03187600526785536,0.6773644341295296,0.8158083035194276,"[355, 251, 219]","[875.72, 732.47, 688.9]"
17,16,20,12,0.7800184218641131,0.022743324170831223,0.7304019398434629,0.8158083035194276,"[355, 251, 219]","[875.72, 732.47, 688.9]"
18,18,20,16,0.7672774322336675,0.03684474485166207,0.7118241369778098,0.8308496008708273,"[366, 235, 225]","[891.02, 710.65, 697.05]"
19,18,20,13,0.7782874163144682,0.04172473756627787,0.6711495558509972,0.8308496008708273,"[366, 235, 225]","[891.02, 710.65, 697.05]"
20,17,20,18,0.7594357623294027,0.04493191644011328,0.6830851063829787,0.8308496008708273,"[366, 235, 225]","[891.02, 710.65, 697.05]"
21,18,20,14,0.7864245942867415,0.040438985721839724,0.7129808217890188,0.8700979843225085,"[366, 262, 225]","[891.02, 747.5, 697.05]"
22,19,20,17,0.7706012529429452,0.03813901720683489,0.6935678095138087,0.8158083035194276,"[355, 251, 219]","[875.72, 732.47, 688.9]"
23,18,20,16,0.7756822749779877,0.028259971838918395,0.7217304625199362,0.8158083035194276,"[355, 251, 219]","[875.72, 732.47, 688.9]"
24,14,20,19,0.7678268847321931,0.03862727261974906,0.671926752192059,0.8328094133361453,"[355, 247, 215]","[875.72, 727.01, 683.47]"
25,18,20,17,0.7663342358453894,0.04082840119187038,0.6955793896505971,0.8186571556317979,"[343, 261, 218]","[859.06, 746.14, 687.54]"
