,precision,recall,f1-score,support
0,0.7843137254901961,0.7142857142857143,0.7476635514018691,56.0
1,0.75,0.8035714285714286,0.7758620689655172,56.0
2,0.8461538461538461,0.7719298245614035,0.8073394495412844,57.0
3,0.6507936507936508,0.7192982456140351,0.6833333333333333,57.0
accuracy,0.7522123893805309,0.7522123893805309,0.7522123893805309,0.7522123893805309
macro avg,0.7578153056094232,0.7522713032581454,0.7535496008105012,226.0
weighted avg,0.7577326369622049,0.7522123893805309,0.7534769175417116,226.0
