,precision,recall,f1-score,support
0,0.8723404255319149,0.7321428571428571,0.7961165048543689,56.0
1,0.7966101694915254,0.8392857142857143,0.8173913043478261,56.0
2,0.8076923076923077,0.7368421052631579,0.7706422018348624,57.0
3,0.7352941176470589,0.8771929824561403,0.8,57.0
accuracy,0.7964601769911505,0.7964601769911505,0.7964601769911505,0.7964601769911505
macro avg,0.8029842550907018,0.7963659147869674,0.7960375027592643,226.0
weighted avg,0.8027055732993652,0.7964601769911505,0.7959426673447347,226.0
