,precision,recall,f1-score,support
0,0.8076923076923077,0.75,0.7777777777777778,56.0
1,0.7586206896551724,0.7857142857142857,0.7719298245614035,56.0
2,0.7758620689655172,0.7894736842105263,0.782608695652174,57.0
3,0.7931034482758621,0.8070175438596491,0.8,57.0
accuracy,0.7831858407079646,0.7831858407079646,0.7831858407079646,0.7831858407079646
macro avg,0.7838196286472149,0.7830513784461153,0.7830790744978389,226.0
weighted avg,0.7838254970540597,0.7831858407079646,0.7831518645272922,226.0
