,precision,recall,f1-score,support
0,0.796875,0.9107142857142857,0.85,56.0
1,0.9333333333333333,0.75,0.8316831683168316,56.0
2,0.7142857142857143,0.7894736842105263,0.75,57.0
3,0.7962962962962963,0.7543859649122807,0.7747747747747747,57.0
accuracy,0.8008849557522124,0.8008849557522124,0.8008849557522124,0.8008849557522124
macro avg,0.810197585978836,0.8011434837092732,0.8016144857729016,226.0
weighted avg,0.8097116870346959,0.8008849557522124,0.801267343309313,226.0
