gen,nevals,avg,std,min,max,best
0,25,0.71109375,0.044352437045499536,0.609375,0.7734375,"[343, 292, 237]"
1,15,0.7325,0.038291133928104036,0.63671875,0.80859375,"[44, 143, 87]"
2,22,0.74234375,0.048982319035801074,0.60546875,0.80859375,"[447, 200, 242]"
3,22,0.7425,0.047379060676896075,0.6484375,0.80859375,"[447, 200, 242]"
4,22,0.73203125,0.05593444474896484,0.62109375,0.80859375,"[447, 200, 242]"
5,20,0.73421875,0.05795463945513767,0.59375,0.80859375,"[447, 200, 242]"
6,20,0.730625,0.05418834702336841,0.58203125,0.80859375,"[447, 200, 242]"
7,22,0.75484375,0.038452740880852695,0.68359375,0.8125,"[190, 141, 89]"
8,24,0.7503125,0.037628685450730275,0.671875,0.8125,"[198, 140, 91]"
9,17,0.76765625,0.04132686966429952,0.640625,0.80859375,"[198, 140, 91]"
10,22,0.7675,0.0355811133187257,0.6796875,0.80859375,"[198, 140, 91]"
11,18,0.773125,0.026880450028784864,0.7265625,0.8125,"[198, 140, 91]"
12,20,0.751875,0.048072211307573526,0.63671875,0.80859375,"[198, 140, 91]"
13,24,0.7503125,0.04517652010447462,0.61328125,0.80859375,"[198, 140, 91]"
14,18,0.76828125,0.030292357998759355,0.70703125,0.80859375,"[198, 140, 91]"
15,22,0.755625,0.0430195722171897,0.6796875,0.8125,"[198, 140, 91]"
16,22,0.76046875,0.042096545471392306,0.61328125,0.8125,"[198, 140, 91]"
17,22,0.77671875,0.02785635587258319,0.703125,0.8203125,"[226, 127, 85]"
18,20,0.76671875,0.04838101545286126,0.66015625,0.8203125,"[184, 129, 95]"
19,20,0.78578125,0.027459131564017095,0.71875,0.8203125,"[184, 129, 95]"
20,24,0.77515625,0.0375500967458807,0.6953125,0.8203125,"[184, 129, 95]"
21,17,0.79453125,0.029398262065979345,0.70703125,0.8203125,"[184, 129, 95]"
22,22,0.786875,0.03442964406764903,0.703125,0.8203125,"[184, 129, 95]"
23,18,0.80484375,0.026733822503057808,0.73046875,0.8203125,"[184, 129, 95]"
24,16,0.8165625,0.011665504034331305,0.765625,0.8203125,"[184, 129, 95]"
25,22,0.81453125,0.015314094304757301,0.75390625,0.8203125,"[184, 129, 95]"
26,16,0.809375,0.026005182776708186,0.703125,0.8203125,"[184, 129, 95]"
27,22,0.81734375,0.008434605985166113,0.78515625,0.8203125,"[184, 129, 95]"
28,18,0.8203125,0.0,0.8203125,0.8203125,"[184, 129, 95]"
29,22,0.81625,0.013776607778223201,0.76953125,0.8203125,"[184, 129, 95]"
30,20,0.8203125,0.0,0.8203125,0.8203125,"[184, 129, 95]"
31,18,0.81875,0.005298695299316615,0.80078125,0.8203125,"[184, 129, 95]"
32,22,0.81625,0.013776607778223201,0.76953125,0.8203125,"[184, 129, 95]"
33,20,0.8146875,0.0143239582954573,0.76953125,0.8203125,"[184, 129, 95]"
34,18,0.81875,0.005298695299316615,0.80078125,0.8203125,"[184, 129, 95]"
35,20,0.81671875,0.010988719357823279,0.76953125,0.8203125,"[184, 129, 95]"
36,17,0.8203125,0.0,0.8203125,0.8203125,"[184, 129, 95]"
37,19,0.814375,0.011165043803093654,0.78515625,0.8203125,"[184, 129, 95]"
38,16,0.81875,0.005298695299316615,0.80078125,0.8203125,"[184, 129, 95]"
39,18,0.8203125,0.0,0.8203125,0.8203125,"[184, 129, 95]"
40,22,0.81875,0.005298695299316615,0.80078125,0.8203125,"[184, 129, 95]"
41,21,0.81625,0.013776607778223201,0.76953125,0.8203125,"[184, 129, 95]"
42,22,0.81484375,0.015027643798180739,0.76953125,0.8203125,"[184, 129, 95]"
43,24,0.81625,0.013776607778223201,0.76953125,0.8203125,"[184, 129, 95]"
44,17,0.8171875,0.0071602745233685,0.80078125,0.8203125,"[184, 129, 95]"
45,20,0.8203125,0.0,0.8203125,0.8203125,"[184, 129, 95]"
46,20,0.81875,0.005298695299316615,0.80078125,0.8203125,"[184, 129, 95]"
47,22,0.81875,0.005298695299316615,0.80078125,0.8203125,"[184, 129, 95]"
48,20,0.8146875,0.0143239582954573,0.76953125,0.8203125,"[184, 129, 95]"
49,16,0.8203125,0.0,0.8203125,0.8203125,"[184, 129, 95]"
50,24,0.81,0.014900385376727677,0.76953125,0.8203125,"[184, 129, 95]"
