gen,nevals,avg,std,min,max,best
0,25,0.69828125,0.05966499903104835,0.55078125,0.78125,"[167, 35, 309]"
1,15,0.7334375,0.038863241790926296,0.59765625,0.80078125,"[191, 164, 325]"
2,22,0.72765625,0.06652581148509201,0.484375,0.80078125,"[191, 164, 325]"
3,22,0.74140625,0.04761140307872684,0.6015625,0.7890625,"[191, 164, 325]"
4,22,0.7434375,0.049493528617385936,0.58203125,0.7890625,"[191, 164, 325]"
5,20,0.75078125,0.03472829807952011,0.63671875,0.78515625,"[191, 164, 325]"
6,20,0.750625,0.03197747009614738,0.66015625,0.796875,"[191, 164, 325]"
7,22,0.73359375,0.04024764647622268,0.63671875,0.796875,"[191, 164, 325]"
8,24,0.71046875,0.049315628861447164,0.62109375,0.78515625,"[191, 164, 325]"
9,17,0.736875,0.03336367434238921,0.65625,0.79296875,"[191, 164, 325]"
10,22,0.73328125,0.0466206641750737,0.59375,0.78125,"[191, 164, 325]"
11,18,0.75109375,0.017452502506804003,0.71484375,0.796875,"[191, 164, 325]"
12,20,0.76015625,0.03583545294118661,0.63671875,0.80859375,"[230, 153, 280]"
13,24,0.75265625,0.031786795853388554,0.67578125,0.80859375,"[230, 153, 280]"
14,18,0.74609375,0.04024764647622268,0.6484375,0.80859375,"[230, 153, 280]"
15,22,0.74765625,0.038416533916075774,0.63671875,0.80859375,"[230, 153, 280]"
16,22,0.7540625,0.0291790338363867,0.6796875,0.80078125,"[230, 153, 280]"
17,22,0.75140625,0.03472618900952133,0.64453125,0.80078125,"[230, 153, 280]"
18,20,0.75703125,0.03136696859356989,0.640625,0.7890625,"[230, 153, 280]"
19,20,0.76125,0.03411335080470695,0.6875,0.8125,"[111, 151, 388]"
20,24,0.75546875,0.02392717629861493,0.69140625,0.79296875,"[111, 151, 388]"
21,17,0.7684375,0.024118239013763008,0.72265625,0.79296875,"[111, 151, 388]"
22,22,0.756875,0.037210470846591015,0.66015625,0.79296875,"[111, 151, 388]"
23,18,0.76859375,0.03231165376067898,0.69140625,0.79296875,"[111, 151, 388]"
24,16,0.769375,0.026319662030029944,0.71875,0.79296875,"[111, 151, 388]"
25,22,0.7853125,0.01905609523551454,0.7109375,0.80078125,"[111, 151, 388]"
26,16,0.78046875,0.02445699350390395,0.69140625,0.80078125,"[111, 151, 388]"
27,22,0.7740625,0.02399544227556558,0.734375,0.80078125,"[111, 151, 388]"
28,18,0.78234375,0.021945199859536482,0.72265625,0.81640625,"[124, 155, 322]"
29,22,0.7703125,0.027885262964960543,0.703125,0.80078125,"[124, 155, 322]"
30,20,0.77515625,0.02093633392275257,0.72265625,0.80078125,"[124, 155, 322]"
31,18,0.7871875,0.02139883539471249,0.72265625,0.80078125,"[124, 155, 322]"
32,22,0.79578125,0.011456439237389602,0.76953125,0.80078125,"[124, 155, 322]"
33,20,0.79703125,0.01015504800579495,0.76953125,0.80078125,"[124, 155, 322]"
34,18,0.79953125,0.0061237243569579455,0.76953125,0.80078125,"[124, 155, 322]"
35,20,0.7959375,0.010021948569265362,0.76953125,0.80078125,"[124, 155, 322]"
36,17,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
37,19,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
38,16,0.80078125,0.0,0.80078125,0.80078125,"[124, 155, 322]"
39,18,0.79765625,0.0071602745233685,0.78125,0.80078125,"[124, 155, 322]"
40,22,0.80078125,0.0,0.80078125,0.80078125,"[124, 155, 322]"
41,21,0.80078125,0.0,0.80078125,0.80078125,"[124, 155, 322]"
42,22,0.80078125,0.0,0.80078125,0.80078125,"[124, 155, 322]"
43,24,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
44,17,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
45,20,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
46,20,0.80078125,0.0,0.80078125,0.80078125,"[124, 155, 322]"
47,22,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
48,20,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
49,16,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
50,24,0.79921875,0.005298695299316615,0.78125,0.80078125,"[124, 155, 322]"
