gen,nevals,avg,std,min,max,best
0,25,0.7128125,0.047855883095759506,0.59375,0.78125,"[245, 258, 308]"
1,15,0.73953125,0.03860228903510775,0.59765625,0.78125,"[245, 258, 308]"
2,22,0.74265625,0.042003650325001515,0.578125,0.78125,"[245, 258, 308]"
3,22,0.7121875,0.056937208424061324,0.59765625,0.7890625,"[243, 154, 185]"
4,22,0.73546875,0.03695106032815567,0.6484375,0.78515625,"[243, 154, 185]"
5,20,0.74921875,0.03934274472504428,0.64453125,0.81640625,"[112, 227, 350]"
6,20,0.74984375,0.04999365194077144,0.58984375,0.81640625,"[112, 227, 350]"
7,22,0.75890625,0.025012692090716663,0.7109375,0.81640625,"[112, 227, 350]"
8,24,0.7565625,0.03354320325155306,0.6796875,0.81640625,"[112, 227, 350]"
9,17,0.7671875,0.02256176418467758,0.7265625,0.8125,"[112, 227, 350]"
10,22,0.77,0.02232571387436469,0.7109375,0.8125,"[112, 227, 350]"
11,18,0.758125,0.029951947192544928,0.671875,0.78515625,"[112, 227, 350]"
12,20,0.7653125,0.027375428078844723,0.6875,0.8125,"[112, 227, 350]"
13,24,0.7703125,0.021194781197266466,0.71875,0.80859375,"[112, 227, 350]"
14,18,0.77390625,0.02811023918210231,0.72265625,0.80859375,"[112, 227, 350]"
15,22,0.77671875,0.03239466101844562,0.68359375,0.80859375,"[112, 227, 350]"
16,22,0.7746875,0.03484620226796602,0.69921875,0.80859375,"[112, 227, 350]"
17,22,0.7715625,0.03206210404238936,0.69921875,0.80859375,"[112, 227, 350]"
18,20,0.7896875,0.028139753075053803,0.71484375,0.80859375,"[112, 227, 350]"
19,20,0.80125,0.017198859882271267,0.75390625,0.80859375,"[112, 227, 350]"
20,24,0.79796875,0.02284458360312133,0.74609375,0.80859375,"[112, 227, 350]"
21,17,0.80046875,0.020310096011589902,0.74609375,0.80859375,"[112, 227, 350]"
22,22,0.80859375,0.0,0.80859375,0.80859375,"[112, 227, 350]"
23,18,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
24,16,0.79796875,0.0214102414162008,0.74609375,0.80859375,"[112, 227, 350]"
25,22,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
26,16,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
27,22,0.806875,0.008420120990817176,0.765625,0.80859375,"[112, 227, 350]"
28,18,0.80359375,0.01695582495781317,0.74609375,0.80859375,"[112, 227, 350]"
29,22,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
30,20,0.80359375,0.01695582495781317,0.74609375,0.80859375,"[112, 227, 350]"
31,18,0.80234375,0.01711632992203644,0.74609375,0.80859375,"[112, 227, 350]"
32,22,0.80859375,0.0,0.80859375,0.80859375,"[112, 227, 350]"
33,20,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
34,18,0.80859375,0.0,0.80859375,0.80859375,"[112, 227, 350]"
35,20,0.80640625,0.010716517624676404,0.75390625,0.80859375,"[112, 227, 350]"
36,17,0.79859375,0.022912878474779203,0.74609375,0.80859375,"[112, 227, 350]"
37,19,0.79421875,0.0256440477986608,0.74609375,0.80859375,"[112, 227, 350]"
38,16,0.80859375,0.0,0.80859375,0.80859375,"[112, 227, 350]"
39,18,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
40,22,0.80734375,0.004238956239453293,0.79296875,0.80859375,"[112, 227, 350]"
41,21,0.79859375,0.022912878474779203,0.74609375,0.80859375,"[112, 227, 350]"
42,22,0.7975,0.022417383043076194,0.74609375,0.80859375,"[112, 227, 350]"
43,24,0.80359375,0.01695582495781317,0.74609375,0.80859375,"[112, 227, 350]"
44,17,0.80859375,0.0,0.80859375,0.80859375,"[112, 227, 350]"
45,20,0.80359375,0.01695582495781317,0.74609375,0.80859375,"[112, 227, 350]"
46,20,0.80359375,0.01695582495781317,0.74609375,0.80859375,"[112, 227, 350]"
47,22,0.80359375,0.01695582495781317,0.74609375,0.80859375,"[112, 227, 350]"
48,20,0.80859375,0.0,0.80859375,0.80859375,"[112, 227, 350]"
49,16,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
50,24,0.80421875,0.014836346838086524,0.75390625,0.80859375,"[112, 227, 350]"
