,precision,recall,f1-score,support
0,0.8571428571428571,0.6428571428571429,0.7346938775510204,56.0
1,0.8888888888888888,0.7142857142857143,0.7920792079207921,56.0
2,0.7083333333333334,0.8947368421052632,0.7906976744186046,57.0
3,0.7611940298507462,0.8947368421052632,0.8225806451612904,57.0
accuracy,0.7876106194690266,0.7876106194690266,0.7876106194690266,0.7876106194690266
macro avg,0.8038897773039564,0.7866541353383459,0.785012851262927,226.0
weighted avg,0.8032780419436739,0.7876106194690266,0.7852042345242278,226.0
