,precision,recall,f1-score,support
0,0.8490566037735849,0.8035714285714286,0.8256880733944955,56.0
1,0.84,0.75,0.7924528301886793,56.0
2,0.75,0.8947368421052632,0.816,57.0
3,0.8,0.7719298245614035,0.7857142857142857,57.0
accuracy,0.8053097345132744,0.8053097345132744,0.8053097345132744,0.8053097345132744
macro avg,0.8097641509433962,0.8050595238095237,0.8049637973243651,226.0
weighted avg,0.8094565035899148,0.8053097345132744,0.804927455249434,226.0
