,precision,recall,f1-score,support
0,0.8333333333333334,0.7142857142857143,0.7692307692307693,56.0
1,0.7666666666666667,0.8214285714285714,0.7931034482758621,56.0
2,0.8,0.7719298245614035,0.7857142857142857,57.0
3,0.6666666666666666,0.7368421052631579,0.7,57.0
accuracy,0.7610619469026548,0.7610619469026548,0.7610619469026548,0.7610619469026548
macro avg,0.7666666666666667,0.7611215538847117,0.7620121258052293,226.0
weighted avg,0.7663716814159293,0.7610619469026548,0.7618426126817949,226.0
