,precision,recall,f1-score,support
0,0.7704918032786885,0.8392857142857143,0.8034188034188035,56.0
1,0.7457627118644068,0.7857142857142857,0.7652173913043478,56.0
2,0.8214285714285714,0.8070175438596491,0.8141592920353983,57.0
3,0.82,0.7192982456140351,0.7663551401869159,57.0
accuracy,0.7876106194690266,0.7876106194690266,0.7876106194690266,0.7876106194690266
macro avg,0.7894207716429166,0.787828947368421,0.7872876567363664,226.0
weighted avg,0.7896977053957606,0.7876106194690266,0.7873139360228689,226.0
