gen,nevals,avg,std,min,max,best
0,25,0.71890625,0.041420693235688366,0.625,0.7734375,"[348, 406, 238]"
1,15,0.7390625,0.03521696146745201,0.640625,0.80078125,"[149, 90, 57]"
2,22,0.7328125,0.04485218779502288,0.63671875,0.80078125,"[180, 92, 64]"
3,22,0.74125,0.03420197933782488,0.671875,0.78515625,"[180, 92, 64]"
4,22,0.73890625,0.04639967335553129,0.578125,0.78125,"[180, 92, 64]"
5,20,0.74796875,0.03699398177406698,0.65234375,0.8046875,"[93, 120, 219]"
6,20,0.76265625,0.031527672616687076,0.67578125,0.8125,"[96, 95, 231]"
7,22,0.76484375,0.02679129406169101,0.6953125,0.796875,"[96, 95, 231]"
8,24,0.75984375,0.039576616754720205,0.6640625,0.80078125,"[96, 95, 231]"
9,17,0.77109375,0.02706329386826371,0.69140625,0.80078125,"[96, 95, 231]"
10,22,0.77359375,0.0194366458815558,0.71875,0.8125,"[104, 93, 217]"
11,18,0.7803125,0.012317020109385225,0.74609375,0.8125,"[104, 93, 217]"
12,20,0.75859375,0.03483358876501243,0.69140625,0.8125,"[104, 93, 217]"
13,24,0.76671875,0.030408995893485204,0.68359375,0.80859375,"[104, 93, 217]"
14,18,0.76765625,0.02845123294780035,0.70703125,0.8125,"[104, 93, 217]"
15,22,0.78125,0.029871959834851813,0.70703125,0.828125,"[108, 91, 218]"
16,22,0.77984375,0.02916648065416875,0.70703125,0.80859375,"[108, 91, 218]"
17,22,0.795,0.019891060727749037,0.73828125,0.8125,"[108, 91, 218]"
18,20,0.79703125,0.02655054878199319,0.73046875,0.8359375,"[99, 91, 214]"
19,20,0.7975,0.025211023444616443,0.69921875,0.8359375,"[99, 91, 214]"
20,24,0.79734375,0.02624627949824508,0.6875,0.8359375,"[99, 91, 214]"
21,17,0.79328125,0.032512017009099885,0.6875,0.81640625,"[99, 91, 214]"
22,22,0.79046875,0.033781813709450235,0.6953125,0.81640625,"[99, 91, 214]"
23,18,0.7978125,0.02948698733127886,0.69921875,0.8359375,"[99, 91, 214]"
24,16,0.7990625,0.026170825538660413,0.69921875,0.8359375,"[99, 91, 214]"
25,22,0.79734375,0.030021151397806183,0.69921875,0.81640625,"[99, 91, 214]"
26,16,0.81375,0.008888414158329931,0.79296875,0.8359375,"[99, 91, 214]"
27,22,0.81890625,0.01093080152024544,0.78125,0.8359375,"[99, 91, 214]"
28,18,0.80765625,0.03349877563061074,0.69921875,0.8359375,"[99, 91, 214]"
29,22,0.80203125,0.03006990553277479,0.73046875,0.8359375,"[99, 91, 214]"
30,20,0.80671875,0.027601906354000262,0.73046875,0.8359375,"[99, 91, 214]"
31,18,0.818125,0.023151378536169286,0.73046875,0.8359375,"[99, 91, 214]"
32,22,0.825,0.02004024271621978,0.76953125,0.8359375,"[99, 91, 214]"
33,20,0.8171875,0.039124950079840355,0.69921875,0.8359375,"[99, 91, 214]"
34,18,0.82,0.03035676536004783,0.75390625,0.8359375,"[99, 91, 214]"
35,20,0.83453125,0.006889189901577689,0.80078125,0.8359375,"[99, 91, 214]"
36,17,0.8359375,0.0,0.8359375,0.8359375,"[99, 91, 214]"
37,19,0.8359375,0.0,0.8359375,0.8359375,"[99, 91, 214]"
38,16,0.829375,0.022254520257129786,0.75390625,0.8359375,"[99, 91, 214]"
39,18,0.8228125,0.030073152998147695,0.75390625,0.8359375,"[99, 91, 214]"
40,22,0.8359375,0.0,0.8359375,0.8359375,"[99, 91, 214]"
41,21,0.8221875,0.037485674347008884,0.69921875,0.8359375,"[99, 91, 214]"
42,22,0.8328125,0.015309310892394866,0.7578125,0.8359375,"[99, 91, 214]"
43,24,0.825,0.03709086709521631,0.69921875,0.8359375,"[99, 91, 214]"
44,17,0.8359375,0.0,0.8359375,0.8359375,"[99, 91, 214]"
45,20,0.8296875,0.014405538214520137,0.79296875,0.8359375,"[99, 91, 214]"
46,20,0.8184375,0.0415625,0.69921875,0.8359375,"[99, 91, 214]"
47,22,0.8359375,0.0,0.8359375,0.8359375,"[99, 91, 214]"
48,20,0.8221875,0.037485674347008884,0.69921875,0.8359375,"[99, 91, 214]"
49,16,0.833125,0.009537651538769908,0.80078125,0.8359375,"[99, 91, 214]"
50,24,0.8359375,0.0,0.8359375,0.8359375,"[99, 91, 214]"
