gen,nevals,avg,std,min,max,best
0,25,0.6990625,0.05383804562063894,0.5625,0.77734375,"[181, 92, 377]"
1,15,0.7390625,0.04092437766783999,0.6015625,0.79296875,"[124, 311, 447]"
2,22,0.70875,0.06866187533850208,0.4765625,0.80078125,"[177, 71, 104]"
3,22,0.73578125,0.04339813864096016,0.6171875,0.77734375,"[177, 71, 104]"
4,22,0.74953125,0.03441616852948626,0.62109375,0.78515625,"[177, 71, 104]"
5,20,0.7521875,0.03787378814067851,0.65234375,0.81640625,"[173, 159, 90]"
6,20,0.75671875,0.04819141115774677,0.62890625,0.81640625,"[173, 159, 90]"
7,22,0.7590625,0.03388716340666477,0.6796875,0.80859375,"[173, 159, 90]"
8,24,0.7578125,0.026005182776708186,0.6953125,0.8046875,"[173, 159, 90]"
9,17,0.76484375,0.02692763740564701,0.69140625,0.796875,"[173, 159, 90]"
10,22,0.75515625,0.03662254684617114,0.6953125,0.796875,"[173, 159, 90]"
11,18,0.76765625,0.029956022453757107,0.6875,0.796875,"[173, 159, 90]"
12,20,0.766875,0.029058299427616202,0.71484375,0.8125,"[173, 159, 90]"
13,24,0.75984375,0.03859280110169512,0.6328125,0.796875,"[173, 159, 90]"
14,18,0.78,0.019506859770988257,0.7265625,0.80859375,"[173, 159, 90]"
15,22,0.78515625,0.02448193689998812,0.72265625,0.828125,"[102, 155, 205]"
16,22,0.77859375,0.03815700500891022,0.671875,0.828125,"[102, 155, 205]"
17,22,0.77375,0.046191897625557664,0.65234375,0.828125,"[91, 155, 217]"
18,20,0.78828125,0.03479852726768764,0.6640625,0.8203125,"[91, 155, 217]"
19,20,0.7928125,0.024293734724718637,0.7109375,0.82421875,"[91, 155, 217]"
20,24,0.78828125,0.030777680630612824,0.6875,0.82421875,"[91, 155, 217]"
21,17,0.80328125,0.018483787237062645,0.75,0.8203125,"[91, 155, 217]"
22,22,0.7865625,0.040063426276343364,0.6875,0.8359375,"[119, 157, 207]"
23,18,0.79734375,0.027892266233223145,0.73828125,0.8359375,"[119, 157, 207]"
24,16,0.803125,0.02066993211769211,0.7578125,0.8359375,"[119, 157, 207]"
25,22,0.8,0.040939289083043444,0.66015625,0.8359375,"[119, 157, 207]"
26,16,0.80921875,0.03451109423069631,0.66015625,0.8359375,"[119, 157, 207]"
27,22,0.81328125,0.01722297475394422,0.78125,0.8359375,"[119, 157, 207]"
28,18,0.81078125,0.024208163008580388,0.73828125,0.8359375,"[119, 157, 207]"
29,22,0.81625,0.021551174561958333,0.76953125,0.8359375,"[119, 157, 207]"
30,20,0.8165625,0.028736409831431622,0.7421875,0.8359375,"[119, 157, 207]"
31,18,0.83,0.0183924237119527,0.75,0.8359375,"[119, 157, 207]"
32,22,0.8359375,0.0,0.8359375,0.8359375,"[119, 157, 207]"
33,20,0.8309375,0.01695582495781317,0.7734375,0.8359375,"[119, 157, 207]"
34,18,0.833125,0.009537651538769908,0.80078125,0.8359375,"[119, 157, 207]"
35,20,0.8334375,0.012247448713915891,0.7734375,0.8359375,"[119, 157, 207]"
36,17,0.8359375,0.0,0.8359375,0.8359375,"[119, 157, 207]"
37,19,0.8309375,0.01695582495781317,0.7734375,0.8359375,"[119, 157, 207]"
38,16,0.8309375,0.01695582495781317,0.7734375,0.8359375,"[119, 157, 207]"
39,18,0.828125,0.01871741961048584,0.7734375,0.8359375,"[119, 157, 207]"
40,22,0.8296875,0.014405538214520137,0.79296875,0.8359375,"[119, 157, 207]"
41,21,0.8359375,0.0,0.8359375,0.8359375,"[119, 157, 207]"
42,22,0.834375,0.007654655446197433,0.796875,0.8359375,"[119, 157, 207]"
43,24,0.8303125,0.0128884941420633,0.80078125,0.8359375,"[119, 157, 207]"
44,17,0.8309375,0.01695582495781317,0.7734375,0.8359375,"[119, 157, 207]"
45,20,0.8359375,0.0,0.8359375,0.8359375,"[119, 157, 207]"
46,20,0.8359375,0.0,0.8359375,0.8359375,"[119, 157, 207]"
47,22,0.833125,0.009537651538769908,0.80078125,0.8359375,"[119, 157, 207]"
48,20,0.8359375,0.0,0.8359375,0.8359375,"[119, 157, 207]"
49,16,0.8259375,0.022912878474779203,0.7734375,0.8359375,"[119, 157, 207]"
50,24,0.8284375,0.025433737436719756,0.7421875,0.8359375,"[119, 157, 207]"
