gen,nevals,avg,std,min,max,best
0,20,0.701171875,0.047433199842153016,0.57421875,0.77734375,"[100, 246, 162]"
1,16,0.7255859375,0.031271355008105566,0.66015625,0.76953125,"[100, 246, 162]"
2,14,0.73671875,0.029058929552183265,0.6796875,0.7890625,"[240, 226, 166]"
3,16,0.737109375,0.03200027084235968,0.671875,0.76953125,"[240, 226, 166]"
4,14,0.73125,0.041498276272560405,0.62890625,0.76953125,"[240, 226, 166]"
5,13,0.7513671875,0.02238097178295033,0.6953125,0.76953125,"[240, 226, 166]"
6,12,0.7455078125,0.036335999650559614,0.67578125,0.78515625,"[240, 226, 166]"
7,17,0.7509765625,0.03136879276714309,0.67578125,0.80078125,"[231, 110, 83]"
8,20,0.74453125,0.04162310548428901,0.62890625,0.80078125,"[231, 110, 83]"
9,18,0.739453125,0.05245295278494219,0.6015625,0.78515625,"[231, 110, 83]"
10,14,0.747265625,0.05516117408969033,0.546875,0.7890625,"[231, 110, 83]"
11,19,0.737890625,0.03400681730251855,0.66796875,0.7890625,"[231, 110, 83]"
12,14,0.7546875,0.034556516491556985,0.66796875,0.80078125,"[231, 110, 83]"
13,18,0.7640625,0.02169288027642941,0.71484375,0.81640625,"[274, 447, 109]"
14,15,0.75390625,0.03080741273926618,0.6484375,0.7890625,"[274, 447, 109]"
15,18,0.766015625,0.02750787795540352,0.69140625,0.7890625,"[274, 447, 109]"
16,14,0.76640625,0.027939929284761977,0.6953125,0.7890625,"[274, 447, 109]"
17,18,0.7708984375,0.028094465847039497,0.7109375,0.7890625,"[274, 447, 109]"
18,14,0.7775390625,0.027799631635022953,0.68359375,0.7890625,"[274, 447, 109]"
19,18,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
20,20,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
21,14,0.785546875,0.010546874999999999,0.75390625,0.7890625,"[274, 447, 109]"
22,16,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
23,16,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
24,14,0.785546875,0.010546874999999999,0.75390625,0.7890625,"[274, 447, 109]"
25,18,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
26,16,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
27,18,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
28,18,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
29,16,0.785546875,0.010546875,0.75390625,0.7890625,"[274, 447, 109]"
30,12,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
31,18,0.778125,0.023554395987002087,0.71484375,0.7890625,"[274, 447, 109]"
32,18,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
33,18,0.785546875,0.010546874999999999,0.75390625,0.7890625,"[274, 447, 109]"
34,12,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
35,14,0.778125,0.023554395987002087,0.71484375,0.7890625,"[274, 447, 109]"
36,15,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
37,18,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
38,16,0.7853515625,0.016175601548295466,0.71484375,0.7890625,"[274, 447, 109]"
39,16,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
40,14,0.766796875,0.03401130398600037,0.71484375,0.7890625,"[274, 447, 109]"
41,16,0.7890625,0.0,0.7890625,0.7890625,"[274, 447, 109]"
42,12,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
43,16,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
44,14,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
45,16,0.774609375,0.0242722443482906,0.71484375,0.7890625,"[274, 447, 109]"
46,19,0.78515625,0.010554106317270544,0.75390625,0.7890625,"[274, 447, 109]"
47,16,0.781640625,0.022265624999999997,0.71484375,0.7890625,"[274, 447, 109]"
48,20,0.76328125,0.028927357158708776,0.71484375,0.7890625,"[274, 447, 109]"
49,20,0.7697265625,0.03176996615534424,0.71484375,0.7890625,"[274, 447, 109]"
50,14,0.784375,0.011757747611947195,0.74609375,0.7890625,"[274, 447, 109]"
