gen,nevals,avg,std,min,max,best
0,20,0.7154296875,0.053249437785874494,0.5390625,0.78125,"[324, 226, 339]"
1,16,0.703515625,0.06219284878065262,0.5625,0.78125,"[324, 226, 339]"
2,14,0.751171875,0.028601113293727307,0.68359375,0.78125,"[324, 226, 339]"
3,16,0.708984375,0.06851544683557223,0.58203125,0.78125,"[324, 226, 339]"
4,14,0.744921875,0.03978051047525503,0.6640625,0.78125,"[324, 226, 339]"
5,13,0.773046875,0.01844229942830137,0.71484375,0.78125,"[324, 226, 339]"
6,12,0.77734375,0.01369974837246108,0.71875,0.78125,"[324, 226, 339]"
7,17,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
8,20,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
9,18,0.77265625,0.0171875,0.73828125,0.78125,"[324, 226, 339]"
10,14,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
11,19,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
12,14,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
13,18,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
14,15,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
15,18,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
16,14,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
17,18,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
18,14,0.7765625,0.012872857072878188,0.73828125,0.78125,"[324, 226, 339]"
19,18,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
20,20,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
21,14,0.776953125,0.012890625000000001,0.73828125,0.78125,"[324, 226, 339]"
22,16,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
23,16,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
24,14,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
25,18,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
26,16,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
27,18,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
28,18,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
29,16,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
30,12,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
31,18,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
32,18,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
33,18,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
34,12,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
35,14,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
36,15,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
37,18,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
38,16,0.7748046875,0.015342912639447532,0.73828125,0.78125,"[324, 226, 339]"
39,16,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
40,14,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
41,16,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
42,12,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
43,16,0.776953125,0.012890625,0.73828125,0.78125,"[324, 226, 339]"
44,14,0.77265625,0.017187499999999998,0.73828125,0.78125,"[324, 226, 339]"
45,16,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
46,19,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
47,16,0.776953125,0.012890625000000001,0.73828125,0.78125,"[324, 226, 339]"
48,20,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
49,20,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
50,14,0.78125,0.0,0.78125,0.78125,"[324, 226, 339]"
