,precision,recall,f1-score,support
0,0.8333333333333334,0.7142857142857143,0.7692307692307693,56.0
1,0.7014925373134329,0.8392857142857143,0.7642276422764228,56.0
2,0.7704918032786885,0.8245614035087719,0.7966101694915254,57.0
3,0.84,0.7368421052631579,0.7850467289719626,57.0
accuracy,0.7787610619469026,0.7787610619469026,0.7787610619469026,0.7787610619469026
macro avg,0.7863294184813636,0.7787437343358397,0.77877882749267,226.0
weighted avg,0.7864968209871865,0.7787610619469026,0.7788854613133698,226.0
