,precision,recall,f1-score,support
0,0.8035714285714286,0.8035714285714286,0.8035714285714286,56.0
1,0.7931034482758621,0.8214285714285714,0.8070175438596491,56.0
2,0.7457627118644068,0.7719298245614035,0.7586206896551724,57.0
3,0.8301886792452831,0.7719298245614035,0.8,57.0
accuracy,0.7920353982300885,0.7920353982300885,0.7920353982300885,0.7920353982300885
macro avg,0.7931565669892451,0.7922149122807016,0.7923024155215626,226.0
weighted avg,0.7931107185694717,0.7920353982300885,0.7921874414446247,226.0
